Artist,Album
"Starboard List, The",Songs of the Tall Ships/Cruising Round Yarmouth
Stardeath and the White Dwarfs,The Birth
Starflyer 59,Old
Starry Saints,Serenade
Stars,Set Yourself On Fire
Stars,Set Yourself On Fire
Stars,In our Bedroom after the war
StarTime International ,Supercuts
State of Grace,Jamboreebop
State Shirt,Let's Get Bloody
Static 13,Eye Won't Fool i
Static People,Rare Creatures
Statik Sound System,Tempesta II
Statuesque,Arbiters Anonymous
Stawberry Cough,Fusion Body
Steadman,Loser Friendly
Steadman,Steadman
Steadman revive,elektra
"Steak House Mints, The",Out of the Sky
Stealing Beauty - Original Sountrack,Stealing Beauty - Original Sountrack
Stealth-Music from the Motion Picture,Stealth-Music from the Motion Picture
Steel Pole Bath Tub,Scars From Faling Down
Steel Pulse,Victims
"Steelers, The",Delicious
Steely James,Free Speech experiment
Stegosaurus,Reprise
"Stella Link, The",Mystic Jaguar... Attack!!!!
Stella Schindler,Distant HUm
Stella Soleil,Kiss Kiss
Stellastarr,selections from harmonies for the haunted
Stepanian Interview,Stepanian Interview
Stephanie Rearick,Star Bolly
Stephen Kellogg and the Sixers,The Bear
Stephin Merritt,Showtunes
Stephin Merritt,Pieces of April
Stereo MC's,Supernatural American Mix
Stereoface,Face It
Stereolab,Dots and Loops
Stereolab,Sound-Dust
Stereomud,Perfect Self
Steve Earls and The Dunes,The Hard Way
Steve James,Two Track Mind
Steve Lacy,5 x Monk 5 x Lacy
Steve Lacy - Roswell Rudd Quartet,Early and Late
Steve Lawler,Lights Out
Steve Miller Band,Wide River
Steven Messenger,Edge of the Wall
Stigmata a Go-Go,Stigmata a Go-Go
Still Corners,Creatures of an Hour
Stillborn,the Permanent Solution
Sting,The Soul Cages
Stober & Wells,A Virtuoso Christmas
Stone Gossard,Bayleaf
"Stone Roses, The",Love Spreads
"Stone Roses, The",Fools Gold 9.53
Stone Temple Pilots,Shangri-La Dee Da
Stop the Bleeding,Sponge
Straight to Vhs,Landmine
Straightjacket Fits,Roller RIde
Straightjacket Fits,done
"Strange Weather, Isn't It",Chk Chk Chk
"Strange, The",Dirty Girl
Stranger Lazy,The Cox Sintrific
Stranglmartin,Stranglmartin
Strawberry Lots,Love Operation
Street Starz,Rock With It
Stress U.K. ,Beautiful People
"String Cheese Incident, The",One Step Closer
"String Quartet Tribune to Led Zeppelin, Volume 2, The",
Strip Mind,Bastard
Strong Bad Sings & Other Type Hits,Strong Bad Sings & Other Type Hits
Studebaker John,Time will Tell
Stux,I Am The Walrus
Suba,Tributo
Subculture,They
Sublime,ebin
Sublime,Gold
Submarine,Skindiving
"Submarines, The",Declare a New State!
Subrosa,Never Bet The Devil Your Head
"Substrance, The","Substrance, The"
Subtle,Exiting Arm
"Suburban Sky, The","Suburban Sky, The"
Suburban Sprawl,Ice
Suburban Sprawl,ICE
"Subways, The",All or Nothing
"Subways, The",Shake! Shake!
Sucka Brown,What Elephant?
Suckers,Candy Salad
"suddenly, Tammy!",hard lesson
Sue Fink,True Life and Venture
Sue Medley,Sue Medley
Suede,Electricity
Suffocation,Breeding the Spawn
Sufjan Stevens,Songs for Christmas
Sugar,Besides
Sugar,Your Favorite Thing
Sugar,Gee Angel
Sugar Blue,Blue Blazes
sugar jones,Bring Your Own Insanity 
Sugar Plant,after after hours 
Sugar Ray,Little Saint Nick
Sugar Ray,Sugar Ray
Sugar Ray,RPM
Sugar Ray,american pig
Sugar Shack,Charmer
sugarplam fairies,chinese leftovers
"Sugarplastic, The","Bang, The Earth Is Round"
"Sugarplastic, The",Polly Brown
Sugarsmack,Tank Top City
"Suggesttions, The",Mix Tape
Suicidal Tendencies,Send Me Your Money
Suicidal Tendencies,Asleep at the Wheel
"Suicide Machines, The",Battle Hymns
"Suicide Machines, The",a match and some gasoline
"Suicide Machines, The",Destruction by Definition
"Suicide of Miss Melancholy, The",Integrity is Plastique
Suit of Lights,Break Open The Head
Suizide Dave,Acid Reign
Sukia,The Dream Machine
Sukia,Gary Super Macho
Sukpatch,Tie Down That Shiny Wave
Sully,i have much to report
Sum 41,The Hell Song
Sum 41,Still Waiting
SumiLan ,Natural Selection
Summer at Shatter Creek,all the answers
Summerbirds in the Cellar,With the Hands/Slow January
Summercamp,Pure Juice
Sumner Brothers,I'll Be There Tomorrow
"Sumner Brothes, the",The hell in your mind
Sunday Driver,A Letter to Bryson City
"Sunday, The",Wild horses
Sundays,Snake Hips
"Sundays, The",Can't Be Sure
"Sundays, The",Love
Sunk Loto,Society Anxiety
Sunna,One Minute Science
Sunny Bishop,Sunny Bishop
Sunny Bishop,Sunny Bishop
Sunny Day Real Estate,How it feels to be something on
"Sunny Era, The",Lost in the Sea of Ghosts
Sunny Fortune ,In the Spirit of John Coltrane 
Sunnyland Slim,House Rent Party
Sunset Harbinger,Finally Home
Sunset Valley,Icepond
Sunshine,Electric! Kill! Kill!
"Sunshine Fix, The",Green Imagination
Sunshot,caughtintheactofenjoyingourselves
Supa Frienz,Baby Muva
Supafuzz,All About the Rock
Super Black Market,Super Black Market
Super Furry Animals,Something 4 The Weekend
"Super Fuzz, The",Art Noise
Super Group,Brown Mushrooms and Other Delights
Super Water Symphony,Hydrogen Child
Superchunk,Here's To Shutting Up
Supercoolnothing,16 Volt
Supercute!,Supercute!
Superdrag,Head Trip In Every Key
Superdrag,I Know The Score
Superdrag,Last Call for Vitriol
Superdrag and The Anniversary,The Anniversary/Superdrag
Supergrass,In It For The Money
Supergrass,Caught By The Buzz
Supernal,Rhymes With Eternal
Supernovice,If I Tried
Supernovice,Inescapable
Supersonic,Wall to Wall Moustache
Superstar,Superstar
Supersuckers,Must've Been High
Supersuckers,Get It Together!
Supervillains,Suckadelic
SUPLECS,Wrestlin' With My Lady Friend
Supple,Puppet's Night Out
Supreme Beings of Leisure,Divine Operating System 
Susan Aneletti,Wisdom
Susan Cagle,The Subway Recordings
"Susan Constant, The",Rayonnement
Susan Graham White,Sounding Land
Susana Baca,Eco de Sombras
susanna and the magical orchestra,melody mountain
Sushirobo,Drawings and Garbage Structures
Sushirobo,Action Causes More Trouble Than Thought
Suwheel Psychedelic,Burning Doves
Suzanne Real,Kiss Me Like a Man
Suzanne Real,Kiss Me Like a Man
Sven Vath,Accident Ju Paradise
Swag,Catch-all
Swag,Rah Rah Sis Boom
Swag,Swag
SWAG,Self Titled
Swag ,American Style
Swains,Sonic Mind Junction
Swallows,Witching and Diving
"Swamis, The",Bones of Contention
Swamp Cabbage,Squeal
Swamp Cabbage,Drum Roll Please
Swamp Terrorists,Wreck 
Swamp Terrorists,Five in Japan
Swamp Terrorists,Killer
Swank,Gutless Crap for Drunk Teens
Swank,The Swill of it All
"Swansons, The",Self-Titled
"Swansons, The",Shake
Swåp,du da
Swax,Scapegoat Wax
Sway,Sway
Sway,This was Tomorrow
Sweater Kittens,Sweater Kittens
"Sweaters, The",Phylum
Swedish House Mafia,Until One
Swedish House Mafia,One
Sweep the Leg Johnny,Sto Cazzo!
Sweep the Leg Johnny,4 9 21 30
Sweep the Leg Johnny,Tomorrow We Will Run Faster
Sweet Diesel,Wrongville
Sweet F.A.,Liquid Emotion
Sweet Honey in the Rock,Selections 1976-1988
Sweet Lizard Illtet,Sweet Lizard Illtet
Sweet Lizard Illtet,Radio Version of the Album
Sweet Miss Coffy ,Ring-A-Ling-A-Ding-Ding-Dong
Sweet Mother,Free Activation Series No. 1
Sweet Relief II,Gravity of the Situation
Sweet Sable,Tonight
Sweet Sable,Old Times' Sake
Sweet Sensation,If Wishes Came True
Sweet Soubrette,Days and Nights
Sweet Soubrette,Siren Song
Sweet Tooth,Final Answer?
Sweet Water,Sweet Water
Sweet Water,Superfriends
"Sweetback Sisters, The",Looking For a Fight
Sweetie,Dried Flies Blood
Sweetnothing,Not Waving But Drowning
Swell,Well? 
Swell,for all the beautiful people
Swell,Forget About Jesus
Swell,Whenever You're Ready
Swell,41
Swell Daze,Swell Daze
Swervedriver,99th Dream
"Swills, The",GodSwilling
Swimmer,Surreal
"Swimmers, The",Fighting Trees
Swing This Baby,"Swing This, Baby! III"
Swingin' Utters,"Deadflowers, Bottles, Bluegrass, and Bones"
Swingin' Utters,Swingin' Utters
Swinging Steaks,Southside of the Sky
Swirl,Fade Away
Swirlblade,Starblood
Swirlies,Brokedick car
Swirlies,They spent their wild youthful days
Swirlies,Sneaky Flutes
Swirlies,Strictly East  Coast Sneaky Flute Music
Switched,Subject to Change
Switched,Spread Your E.P.
Switched,Inside
Switches,Lay Down the Law
Switchfoot,The Beautiful Letdown
Switi,Hot! Kaseko Music
Swoon,Backwards and Forwards
"Sword, The",Gods of Earth
Swords,Metropolis
Sworn Enemy,As Real As it Gets
Sybil Vane,Pixy
Sybil Vane,Sybil Vane
Syd Straw,Futue 40s (String of Pearls)
Syl and Syleena Johnson,This Time Together
Syl Johnson with Hi Rhythm,Back in the Game
Symbols,Why? Things Burn
Symon-Asher,Three Color Sun
Symphony X-V,The New Mythology Suite
Symposium,
Symposium,One Day At A Time
Synaptic Flow,Biotechnology 
Synchrony,In the Spirit
Synchrony,Outside the Mainstream
Synnah,Sinner or Saint
Sysma,Without Asking Me Nothing
Sysma,Why Not?
System of A Down,Toxicity
System of A Down,Mezmerize
System of A Down,
System of A Down ,
Systematic,Pleasure to Burn
Systematic ,Somewhere in Between
Tha Eastsidaz,G'd Up
Tha Eastsidaz,Got Beef
The Sounds,Living in America
The Sounds,Living in America
The Soundtrack of our Lives,Origin Vol. 1
The Soundtrack of our Lives,Behind The Music
The Speeds,Sing it Loud
the Spinanes,arches and aisles
The Splinters,Kick
The Sterns,Sinners Stick Together
The Stooges,The Weirdness
Spheres of Influence,Urban Fusion
Sybil Vane,Sybil Vane
Swinghammer,Vostok 6
